Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Degree,Polygon
ASV695_B,ASV695_B,,3,0.395817,0.42123,1238.990687,4,28,
ASV697_B,ASV697_B,,4,0.374326,0.394172,471.618436,4,18,
ASV698_B,ASV698_B,,4,0.372718,0.392571,476.936378,3,19,
ASV699_B,ASV699_B,,4,0.380343,0.402738,744.846319,4,23,
ASV7_B,ASV7_B,,4,0.400231,0.426913,1439.83327,8,31,
ASV70_B,ASV70_B,,4,0.383991,0.407461,882.711606,2,25,
ASV700_B,ASV700_B,,4,0.379097,0.399696,599.279364,1,18,
ASV701_B,ASV701_B,,3,0.37965,0.401057,742.377661,7,21,
ASV702_B,ASV702_B,,4,0.385556,0.409302,796.395649,8,25,
ASV703_B,ASV703_B,,4,0.372184,0.39137,597.710717,1,18,
ASV704_B,ASV704_B,,4,0.376084,0.397054,639.132557,1,20,
ASV705_B,ASV705_B,,3,0.394767,0.418828,953.537259,0,24,
ASV708_B,ASV708_B,,4,0.400231,0.426273,1389.960427,5,29,
ASV710_B,ASV710_B,,4,0.386128,0.410343,1116.068696,4,26,
ASV712_B,ASV712_B,,3,0.394318,0.418988,1010.179165,5,26,
ASV713_B,ASV713_B,,4,0.399156,0.424832,1158.474898,3,28,
ASV714_B,ASV714_B,,4,0.376492,0.397935,887.981621,6,22,
ASV718_B,ASV718_B,,4,0.391501,0.416827,1236.435431,6,28,
ASV719_B,ASV719_B,,4,0.38104,0.402898,758.752575,1,21,
ASV72_B,ASV72_B,,4,0.396723,0.423551,1287.037785,2,32,
ASV720_B,ASV720_B,,3,0.381458,0.403138,681.996149,6,21,
ASV721_B,ASV721_B,,4,0.36928,0.388008,555.570579,7,18,
ASV722_B,ASV722_B,,4,0.383991,0.408341,952.792889,8,28,
ASV724_B,ASV724_B,,4,0.388578,0.412424,913.166079,5,24,
ASV726_B,ASV726_B,,4,0.387999,0.411543,972.512808,1,24,
ASV728_B,ASV728_B,,4,0.376901,0.397935,563.145294,3,20,
ASV73_B,ASV73_B,,3,0.400077,0.425712,1253.788746,2,28,
ASV732_B,ASV732_B,,4,0.386701,0.410183,1017.979434,4,24,
ASV733_B,ASV733_B,,4,0.387277,0.411143,887.903364,0,25,
ASV734_B,ASV734_B,,4,0.383425,0.4061,687.299754,3,23,
ASV736_B,ASV736_B,,4,0.36928,0.387528,478.124824,0,16,
ASV737_B,ASV737_B,,4,0.379235,0.400977,708.057703,1,22,
ASV738_B,ASV738_B,,4,0.378683,0.402177,800.308495,2,27,
ASV74_B,ASV74_B,,4,0.374595,0.394893,526.616626,6,19,
ASV740_B,ASV740_B,,4,0.389742,0.414425,1092.694507,0,27,
ASV743_B,ASV743_B,,4,0.371786,0.39041,398.611242,7,16,
ASV744_B,ASV744_B,,4,0.377311,0.398735,668.810291,3,22,
ASV746_B,ASV746_B,,4,0.378408,0.399536,736.248134,6,20,
ASV747_B,ASV747_B,,4,0.386128,0.408501,709.167449,5,21,
ASV749_B,ASV749_B,,4,0.383002,0.40602,707.390314,3,23,
ASV750_B,ASV750_B,,4,0.385984,0.409782,719.477287,7,25,
ASV751_B,ASV751_B,,3,0.395968,0.420749,1039.525856,5,26,
ASV752_B,ASV752_B,,4,0.392534,0.417467,1014.114384,1,27,
ASV754_B,ASV754_B,,4,0.382159,0.404179,755.518709,0,21,
ASV756_B,ASV756_B,,3,0.393127,0.418348,1314.376933,3,28,
ASV760_B,ASV760_B,,4,0.376492,0.397294,549.240517,5,20,
ASV762_B,ASV762_B,,3,0.390326,0.414025,862.152109,1,24,
ASV763_B,ASV763_B,,4,0.363478,0.380403,316.110793,7,14,
ASV766_B,ASV766_B,,4,0.387277,0.410983,844.304697,2,24,
ASV769_B,ASV769_B,,4,0.389742,0.413705,791.343117,2,24,
ASV77_B,ASV77_B,,4,0.378133,0.399856,674.373728,8,22,
ASV770_B,ASV770_B,,4,0.397025,0.423311,1557.600959,2,30,
ASV772_B,ASV772_B,,4,0.379097,0.400336,708.365888,2,20,
ASV773_B,ASV773_B,,3,0.410004,0.43772,1931.561336,1,34,
ASV774_B,ASV774_B,,4,0.380482,0.403618,754.069948,4,25,
ASV775_B,ASV775_B,,4,0.397784,0.424031,1234.177226,0,30,
ASV776_B,ASV776_B,,4,0.373922,0.393692,529.429379,4,18,
ASV777_B,ASV777_B,,4,0.376764,0.397134,508.650281,3,19,
ASV778_B,ASV778_B,,4,0.37527,0.395853,675.233724,6,20,
ASV779_B,ASV779_B,,4,0.383143,0.40554,732.735281,7,22,
ASV78_B,ASV78_B,,4,0.389159,0.413865,1192.337992,2,27,
ASV781_B,ASV781_B,,4,0.377584,0.398735,580.694051,6,21,
ASV783_B,ASV783_B,,4,0.387565,0.411463,1003.897391,0,25,
ASV785_B,ASV785_B,,4,0.366034,0.384166,320.469117,6,15,
ASV786_B,ASV786_B,,4,0.388578,0.412584,922.928582,8,25,
ASV787_B,ASV787_B,,4,0.37527,0.396013,735.38483,0,21,
ASV788_B,ASV788_B,,4,0.356385,0.371678,235.4729,4,13,
ASV789_B,ASV789_B,,4,0.387421,0.411303,998.414182,6,25,
ASV79_B,ASV79_B,,4,0.385556,0.408822,817.646057,6,24,
ASV793_B,ASV793_B,,4,0.361961,0.379363,240.475319,2,15,
ASV798_B,ASV798_B,,3,0.391501,0.415626,838.380534,0,25,
ASV8_B,ASV8_B,,4,0.380761,0.403858,715.800248,6,25,
ASV80_B,ASV80_B,,3,0.386701,0.410663,1064.902471,2,26,
