Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
ASV125,ASV125,,4,0.353837,0.372807,311.280994,5
ASV126,ASV126,,4,0.364535,0.389421,491.147557,1
ASV127,ASV127,,4,0.364535,0.3853,507.695004,6
ASV129,ASV129,,4,0.351064,0.369617,199.879502,1
ASV13,ASV13,,4,0.373437,0.398325,709.822807,5
ASV133,ASV133,,4,0.320716,0.337453,104.572539,6
ASV134,ASV134,,4,0.348527,0.368022,213.844033,1
ASV135,ASV135,,4,0.37013,0.394338,675.869324,6
ASV136,ASV136,,4,0.382784,0.410686,847.749977,0
ASV138,ASV138,,4,0.373437,0.397262,585.646971,5
ASV141,ASV141,,4,0.373882,0.399787,597.01903,1
ASV142,ASV142,,4,0.375674,0.400319,774.684028,5
ASV143,ASV143,,4,0.372549,0.396332,534.920998,4
ASV146,ASV146,,4,0.378623,0.405768,1052.238371,0
ASV147,ASV147,,4,0.37931,0.407895,1084.746176,1
ASV149,ASV149,,4,0.350279,0.373206,389.030844,0
ASV15,ASV15,,4,0.383018,0.410154,1070.29017,0
ASV153,ASV153,,4,0.359312,0.380117,430.906613,5
ASV154,ASV154,,4,0.378623,0.406831,830.736882,1
ASV156,ASV156,,4,0.361175,0.381446,307.549104,5
ASV158,ASV158,,4,0.365598,0.388756,472.266831,5
ASV159,ASV159,,4,0.349109,0.370813,181.746605,3
ASV160,ASV160,,4,0.366667,0.387294,428.04218,6
ASV161,ASV161,,4,0.377939,0.403907,670.460782,1
ASV162,ASV162,,4,0.394836,0.424375,1497.813286,1
ASV163,ASV163,,4,0.382784,0.409224,1026.383021,3
ASV166,ASV166,,4,0.372107,0.396465,519.113651,4
ASV167,ASV167,,4,0.388476,0.416534,1168.949995,6
ASV169,ASV169,,4,0.37931,0.403907,736.775532,6
ASV17,ASV17,,4,0.372771,0.396863,412.517182,5
ASV170,ASV170,,4,0.378395,0.404439,888.053133,6
ASV172,ASV172,,5,0.368174,0.392265,752.461614,4
ASV173,ASV173,,4,0.388717,0.417996,1178.059269,0
ASV177,ASV177,,4,0.380692,0.4063,670.143575,1
ASV179,ASV179,,4,0.357469,0.378389,403.90666,0
ASV18,ASV18,,4,0.387037,0.416135,861.232925,1
ASV181,ASV181,,4,0.375224,0.401116,643.884041,1
ASV182,ASV182,,4,0.344884,0.364965,278.265255,4
ASV185,ASV185,,4,0.365172,0.388889,617.864786,1
ASV187,ASV187,,4,0.382084,0.407762,841.267857,1
ASV19,ASV19,,4,0.39212,0.424242,1557.208266,5
ASV190,ASV190,,4,0.371666,0.393674,564.510682,5
ASV191,ASV191,,4,0.370348,0.394604,711.966426,0
ASV193,ASV193,,4,0.35625,0.375465,504.727266,1
ASV194,ASV194,,4,0.392611,0.42278,1386.177309,1
ASV197,ASV197,,4,0.358696,0.381047,451.516521,6
ASV198,ASV198,,4,0.371886,0.395933,804.668167,1
ASV2,ASV2,,4,0.38023,0.406433,857.003431,0
ASV200,ASV200,,4,0.367742,0.390351,497.845312,0
ASV201,ASV201,,4,0.35504,0.374934,211.154434,1
ASV203,ASV203,,4,0.360138,0.381712,481.939878,4
ASV204,ASV204,,4,0.346984,0.368022,243.19801,0
ASV206,ASV206,,4,0.367311,0.391813,660.305969,3
ASV207,ASV207,,4,0.3466,0.365364,401.870946,4
ASV209,ASV209,,4,0.374328,0.398724,840.833916,5
ASV21,ASV21,,4,0.365811,0.391547,420.955035,0
ASV210,ASV210,,4,0.365385,0.386497,365.675254,2
ASV211,ASV211,,4,0.372992,0.397395,718.79439,1
ASV213,ASV213,,4,0.370787,0.395401,480.262124,5
ASV214,ASV214,,4,0.366238,0.38756,406.72773,0
ASV215,ASV215,,4,0.359518,0.379718,410.623582,1
ASV217,ASV217,,4,0.364959,0.386364,575.799389,5
ASV219,ASV219,,4,0.358901,0.383041,347.597471,4
ASV22,ASV22,,4,0.353041,0.371345,269.169792,5
ASV221,ASV221,,4,0.346984,0.367358,260.092044,3
ASV222,ASV222,,4,0.368607,0.395003,741.744651,1
ASV223,ASV223,,4,0.380461,0.405901,891.292499,5
ASV226,ASV226,,4,0.365811,0.391148,666.461322,4
ASV227,ASV227,,4,0.338188,0.356326,141.634456,1
ASV228,ASV228,,4,0.368174,0.391946,830.245049,3
ASV229,ASV229,,4,0.37931,0.4063,865.087336,5
ASV23,ASV23,,4,0.383486,0.411483,906.105915,1
ASV231,ASV231,,4,0.366238,0.389421,780.373735,4
ASV232,ASV232,,4,0.359518,0.382908,375.969007,0
ASV233,ASV233,,4,0.375224,0.400984,1095.192775,1
ASV236,ASV236,,4,0.371886,0.396863,576.029286,1
ASV237,ASV237,,4,0.383956,0.411085,809.159077,0
ASV238,ASV238,,4,0.376803,0.404306,1130.550633,4
ASV239,ASV239,,4,0.365811,0.386629,398.943782,6
ASV24,ASV24,,4,0.378852,0.405768,849.330382,1
ASV240,ASV240,,5,0.357673,0.378575,291.819551,0
ASV243,ASV243,,4,0.363268,0.385699,469.172812,3
ASV244,ASV244,,4,0.348721,0.368421,223.987166,3
ASV245,ASV245,,4,0.377483,0.401515,698.715475,6
ASV246,ASV246,,4,0.383252,0.410154,947.734947,1
ASV247,ASV247,,4,0.372549,0.397794,563.761421,1
ASV249,ASV249,,4,0.359107,0.380649,503.083575,3
ASV251,ASV251,,4,0.358901,0.383307,568.216921,1
ASV252,ASV252,,4,0.361592,0.382243,323.39289,5
ASV253,ASV253,,5,0.372992,0.399176,529.876856,0
ASV254,ASV254,,4,0.358491,0.382642,626.585784,5
ASV255,ASV255,,4,0.387037,0.416534,923.955476,1
ASV256,ASV256,,4,0.363057,0.383838,269.061837,6
ASV257,ASV257,,4,0.378623,0.402844,853.982795,5
ASV258,ASV258,,4,0.357877,0.379718,359.575123,1
ASV261,ASV261,,4,0.377256,0.401116,620.469805,2
ASV262,ASV262,,4,0.385846,0.412812,1070.507676,5
ASV264,ASV264,,4,0.371445,0.395136,437.334647,1
ASV265,ASV265,,4,0.357877,0.379054,432.952619,4
ASV267,ASV267,,4,0.349109,0.370282,219.604797,1
ASV269,ASV269,,4,0.379081,0.406566,1021.449831,4
ASV27,ASV27,,4,0.371666,0.396066,568.299898,5
ASV271,ASV271,,4,0.376803,0.401249,750.206972,6
ASV275,ASV275,,4,0.349498,0.369351,348.953832,6
ASV276,ASV276,,4,0.368607,0.39261,554.393475,4
ASV277,ASV277,,4,0.395584,0.426103,1427.087664,5
ASV278,ASV278,,4,0.351655,0.374402,507.455033,2
ASV279,ASV279,,4,0.370787,0.393806,430.137209,1
ASV28,ASV28,,4,0.372771,0.398591,739.823081,1
ASV283,ASV283,,4,0.37977,0.404971,823.271483,5
ASV284,ASV284,,4,0.385846,0.413477,990.820528,5
ASV285,ASV285,,4,0.362009,0.381712,345.749468,1
