ASV_ID,similarity,coverage,superkingdom,kingdom,phylum,class,order,family,genus,species
ASV_500,100,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Pseudochlorella,Pseudochlorella pyrenoidosa
ASV_509,92.8,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Dictyochloropsis,Dictyochloropsis sp.
ASV_510,99.7,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Dictyochloropsis reticulata
ASV_514,99.7,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,Asterochloris gaertneri
ASV_521,99.5,94.1,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Deuterostichococcus,Deuterostichococcus epilithicus
ASV_523,99.5,94,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Tritostichococcus,Tritostichococcus coniocybes
ASV_525,92.6,73.5,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia sp.
ASV_536,90.1,93.5,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Elliptochloris,Elliptochloris antarctica
ASV_537,92.5,99.2,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Symbiochloris tschermakiae
ASV_538,82.5,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Dictyochloropsis,Dictyochloropsis splendida
ASV_539,100,93.7,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Chloroidium,Chloroidium laureanum
ASV_540,100,50,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Desmococcus,Desmococcus olivaceus
ASV_546,99.5,94.1,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Deuterostichococcus,Deuterostichococcus epilithicus
ASV_555,91.4,32.8,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella regularis
ASV_556,88.9,60.6,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Dictyochloropsis reticulata
ASV_573,99.7,93.8,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Chloroidium,Chloroidium viscosum
ASV_577,86.5,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,Asterochloris sp.
ASV_581,97.8,36.7,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Symbiochloris sp.
ASV_583,94.3,88.5,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Deuterostichococcus,Stichococcus allas
ASV_585,97.4,93.7,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Chloroidium,Chloroidium laureanum
ASV_586,97.2,93.3,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Elliptochloris,Elliptochloris perforata
ASV_595,92.5,99.2,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Symbiochloris tschermakiae
ASV_597,99.2,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Dictyochloropsis,Dictyochloropsis sp.
ASV_603,100,100,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Bracteacoccaceae,Bracteacoccus,Bracteacoccus cohaerens
ASV_608,99.8,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia incrustata
ASV_610,100,61.3,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Dictyochloropsis,Dictyochloropsis splendida
