OTUid,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,BL_1,BL_2,BL_3,BL_4,BL_5,BL_6,MPC_01,MPC_02,MPC_03,MPC_04,MPC_05,MPC_06,MPC_07,MPC_08,MPC_09,MPC_10,MPC_11,MPC_12,MPC_13,MPC_14,MPC_15,MPC_16,MPC_17,MPC_18,PCN_1,PCN_2,PCN_3,PCN_4,PCN_5,PCN_6,PCN_7,PCN_8
ASV_33,140,368,998,234,247,552,515,102,491,269,553,177,484,179,53,0,34,182,168,114,0,742,116,134,127,34,105,160,56,189,457,127,486,275,432,337,203,640,497,785,147,225,521,146,506,23,84,0,273,394,483,29,85,221,0,215,107,192,0,0,132,0,79,143,836,401,66,345,397,477,448,0,379,74,74,73,0,201,0,121,40,124,157,279,134,406,48,107,61,162,232,252,319,370,168,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_34,0,0,0,0,0,879,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,688,0,0,443,0,0,0,0,0,368,0,0,0,0,212,0,0,0,0,0,0,0,0,493,0,0,0,0,292,1010,0,421,0,0,235,1624,582,0,258,1212,0,329,0,1015,622,532,0,0,177,0,0,0,528,754,0,0,0,0,0,0,0,553,3490,2322,1864,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_35,99,270,283,318,0,0,243,0,178,0,0,510,28,180,1214,941,65,561,325,372,486,503,381,496,58,333,315,17,126,0,0,5,232,443,539,15,142,0,8,52,0,11,35,204,1053,0,16,0,41,172,49,231,70,333,107,114,104,176,329,7,241,574,35,1004,913,467,56,1337,105,335,0,156,0,167,252,124,373,242,218,226,267,214,105,85,45,28,24,42,125,143,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_36,0,163,183,0,79,0,0,185,295,163,215,46,775,105,265,0,288,648,0,509,270,452,0,0,268,0,0,0,0,0,182,149,0,203,85,70,99,0,0,0,179,0,0,985,370,0,57,0,395,321,210,181,0,0,0,0,539,485,220,0,488,0,0,807,1424,207,187,475,178,689,1172,0,1877,89,268,0,0,210,0,0,212,0,85,650,0,207,0,299,0,180,0,988,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_37,0,0,0,0,312,299,305,47,562,72,0,0,0,0,0,0,4206,0,0,257,0,245,0,592,668,842,0,44,166,185,513,0,119,0,0,0,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,395,3754,526,131,0,0,1295,1007,754,0,281,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,331,0,0,88,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0
ASV_38,0,889,59,50,0,0,0,0,85,0,0,0,0,0,0,105,123,0,0,0,0,1029,0,0,0,0,17,77,0,0,0,0,0,0,321,0,2065,0,0,0,0,0,0,198,71,0,0,0,0,270,85,1094,0,0,0,29,0,0,0,0,601,0,0,0,117,1715,0,0,0,1959,237,0,359,0,0,0,0,39,0,0,318,0,0,186,0,1985,0,131,95,1881,0,0,0,0,3653,0,10,0,0,19,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
ASV_39,0,138,294,18,152,23,70,41,522,235,466,21,140,374,86,181,179,384,97,621,274,842,41,66,76,0,126,214,215,0,116,245,135,62,2933,1790,168,144,317,98,956,0,0,30,176,205,22,52,151,104,214,95,0,173,43,0,0,188,50,37,262,43,351,750,710,124,88,304,0,55,153,0,306,165,110,0,0,26,0,0,36,0,67,552,26,596,0,88,0,268,0,37,21,27,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_40,28,494,0,211,0,0,0,0,10,0,15,81,120,0,32,1146,840,0,10,0,0,175,0,0,0,0,0,28,0,0,500,0,154,40,2180,0,1348,89,13,0,0,250,0,26,125,0,0,0,0,31,0,2629,0,0,36,0,0,0,0,0,0,0,0,0,85,1888,0,58,0,241,173,0,427,0,0,630,1463,0,1520,72,0,0,0,0,0,195,0,0,240,0,47,0,0,22,1092,156,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0
ASV_41,0,18,78,7,63,46,52,54,196,40,115,49,132,142,25,0,106,87,103,167,18,12,43,45,105,0,145,172,6,25,0,763,471,44,67,614,53,613,229,411,992,76,162,60,41,182,50,33,55,46,727,47,37,98,116,98,56,138,34,28,26,0,38,72,45,43,36,39,45,12,23,30,5,0,49,0,0,72,0,75,0,0,16,31,508,194,62,72,11,22,0,5,0,8890,0,23,48,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,29,0,0,9
ASV_42,0,388,48,83,21,29,247,188,456,106,0,137,1301,75,285,955,296,59,0,33,0,321,0,311,0,0,0,0,77,61,222,0,1972,39,901,0,400,279,946,161,37,17,0,758,163,28,11,0,0,0,122,228,0,0,24,43,53,72,181,0,80,53,0,243,171,638,19,0,30,1405,337,0,264,191,417,24,65,51,0,35,47,86,105,0,0,278,0,0,30,144,107,105,125,277,1109,226,0,22,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
