Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub
ASV55,ASV55,,4,0.375527,0.402889,789.179927,6,0.056891,0.056892
ASV550,ASV550,,4,0.372385,0.399411,979.995459,2,0.042859,0.042858
ASV551,ASV551,,4,0.343819,0.366105,380.310312,4,0.02325,0.02325
ASV552,ASV552,,4,0.374624,0.400883,721.023058,0,0.050814,0.050814
ASV553,ASV553,,4,0.341183,0.362092,245.6936,4,0.020293,0.020293
ASV554,ASV554,,4,0.366902,0.389513,582.076066,0,0.033271,0.033271
ASV555,ASV555,,4,0.360532,0.384029,383.962557,8,0.039982,0.039982
ASV556,ASV556,,4,0.368421,0.39152,633.391102,8,0.03694,0.03694
ASV558,ASV558,,4,0.353776,0.374264,303.862606,3,0.024284,0.024284
ASV559,ASV559,,4,0.394054,0.423355,1422.81122,7,0.058262,0.058262
ASV56,ASV56,,4,0.376435,0.403157,794.785562,1,0.059495,0.059495
ASV560,ASV560,,4,0.34477,0.363162,259.285995,3,0.018364,0.018364
ASV561,ASV561,,4,0.368639,0.393927,662.683614,2,0.04111,0.04111
ASV562,ASV562,,4,0.330679,0.350722,134.868409,4,0.017323,0.017323
ASV563,ASV563,,4,0.349607,0.37306,385.836519,4,0.032525,0.032524
ASV564,ASV564,,4,0.352975,0.374933,329.114747,4,0.031037,0.031037
ASV565,ASV565,,4,0.351977,0.374131,339.108627,3,0.028924,0.028924
ASV568,ASV568,,4,0.351779,0.372124,444.66314,3,0.020952,0.020952
ASV569,ASV569,,4,0.369076,0.393927,781.520421,0,0.036578,0.036578
ASV57,ASV57,,4,0.348629,0.369716,484.021406,4,0.025022,0.025022
ASV570,ASV570,,4,0.366686,0.389781,532.363379,0,0.035562,0.035562
ASV571,ASV571,,4,0.354582,0.377475,296.184591,0,0.037553,0.037554
ASV572,ASV572,,4,0.369076,0.395131,644.954586,4,0.04675,0.04675
ASV573,ASV573,,4,0.34785,0.366239,228.279544,2,0.020995,0.020995
ASV575,ASV575,,4,0.363265,0.388978,446.8868,3,0.04749,0.04749
ASV576,ASV576,,4,0.326349,0.344034,127.236549,5,0.013823,0.013823
ASV577,ASV577,,4,0.367335,0.389379,469.005374,6,0.035024,0.035024
ASV578,ASV578,,5,0.278623,0.290637,9.212159,1,0.004446,0.004446
ASV58,ASV58,,4,0.381974,0.409979,834.411127,2,0.069833,0.069834
ASV580,ASV580,,4,0.318996,0.338951,193.437332,5,0.012942,0.012942
ASV583,ASV583,,4,0.370392,0.395934,837.57781,1,0.042664,0.042663
ASV587,ASV587,,4,0.381273,0.409042,959.564561,8,0.055618,0.055618
ASV589,ASV589,,4,0.36604,0.387774,573.143114,0,0.030409,0.030409
ASV59,ASV59,,4,0.366255,0.391386,608.924611,1,0.048191,0.048191
ASV590,ASV590,,4,0.362631,0.385367,434.615652,3,0.035224,0.035225
ASV593,ASV593,,4,0.347269,0.365302,242.605542,3,0.018044,0.018044
ASV594,ASV594,,4,0.367118,0.392322,699.020173,4,0.041151,0.04115
ASV595,ASV595,,4,0.369514,0.395131,757.573022,7,0.041073,0.041072
ASV597,ASV597,,4,0.361369,0.382022,386.917609,7,0.027509,0.027509
ASV598,ASV598,,4,0.379878,0.40931,959.028705,7,0.067269,0.06727
ASV599,ASV599,,4,0.383385,0.410647,977.191362,7,0.053911,0.053911
ASV6,ASV6,,4,0.338955,0.357812,141.287249,1,0.022313,0.022313
ASV60,ASV60,,4,0.384805,0.413456,1140.482107,4,0.066971,0.066971
ASV600,ASV600,,4,0.367118,0.390449,595.45387,5,0.035374,0.035374
ASV601,ASV601,,4,0.334227,0.353799,235.073257,4,0.015806,0.015806
ASV602,ASV602,,4,0.369076,0.391653,577.609556,4,0.035597,0.035596
ASV603,ASV603,,4,0.36242,0.387373,557.653026,4,0.035828,0.035827
ASV605,ASV605,,4,0.364327,0.385768,445.014965,3,0.032595,0.032595
ASV609,ASV609,,4,0.359078,0.378277,340.888645,7,0.025859,0.025859
ASV61,ASV61,,4,0.377347,0.404494,656.192794,0,0.066195,0.066195
ASV611,ASV611,,4,0.368857,0.392055,791.643189,7,0.032723,0.032723
ASV612,ASV612,,4,0.373277,0.399411,655.302036,4,0.051041,0.05104
ASV613,ASV613,,4,0.360116,0.383895,318.775454,4,0.042464,0.042464
ASV614,ASV614,,4,0.334227,0.356474,249.323177,5,0.022875,0.022875
ASV615,ASV615,,4,0.355391,0.380284,434.29483,6,0.040112,0.040113
ASV617,ASV617,,4,0.386957,0.415864,1168.818284,8,0.063645,0.063644
